Artikelnummer;Oms1;Oms2;Oms3;Zoeknaam;Groep;EAN;Verkoopprijs;Eenheid;Prijs per;Voorraad
WE28LR 1        ;BSP HAAKSE INSCHR.KOPPELING;;;WE28LR1 ;F0401067;;51.98;ST      ;1;24
WE30SN 1 1/4    ;NPT HAAKSE INSCHR.KOPPELING;;;WE30SN11;F0401070;;78.95;ST      ;1;3
WE30SR 1        ;BSP HAAKSE INSCHR.KOPPELING;;;WE30SR1 ;F0401068;;79.1;ST      ;1;3
WEA12LR 1/2     ;RECHTE INSTEEK SLANGKOPPELING;;;WEA12LR ;F02     ;WEA12LR 1/2  ;61.93;ST      ;1;21
WEA12LR 3/8     ;RECHTE INSTEEK SLANGKOPPELING;type plug-in FE/ZN 1/2" 3/8";;WEA12LR ;F02     ;WEA12LR 3/8  ;66.41;ST      ;1;52
WH2 BLU 1/2     ;2ST CLAENERSLANG;HOT WATER;;WH2BLU1/;F0103021;;21.6;CM      ;100;-502.5
WH2 BLU 1/4     ;2ST CLAENERSLANG;HOT WATER;;WH2BLU1/;F0103021;;7.91;CM      ;100;7460
WH2 BLU 3/8     ;2ST CLAENERSLANG;HOT WATER;;WH2BLU3/;F0103021;;10.35;CM      ;100;60726
WH2 BLU 5/16    ;2ST CLAENERSLANG;HOT WATER;;WH2BLU5/;F0103021;;8.66;CM      ;100;35543
WH2 BLU3/81000SL;2ST CLAENERSLANG;HOT WATER;;WH2 BLU ;F35     ;;116.54;ST      ;1;0
WIF050414       ;SLANGBREUK OPBOUW SET;;;WIFO    ;F35     ;;79.52;ST      ;1;0
WNH130208       ;SLANGENSET STARK/WNH 13-02-08;;;WNH13020;F35     ;;0;ST      ;1;0
WPB4A6HU40      ;FLOW METER 3/4" BSP 15-150 LPM;;;FLOWMET ;F97     ;;0;ST      ;1;0
WS101250420AL10S;POSITIEOPNEMER BEREIK 0-1250MM; 24VDC, UITGANG 4-20 mA, SBO; KABELCLIP, 8 POLIGE STEKKER M;WS101250;F3601001;;2279.42;ST      ;1;0
WS12L.1W        ;UITLOPEND;;;WS12L.1W;F12     ;;6.72;ST      ;1;0
WS151 AFD       ;AFDICHTSET T.B.V.WS151;;;PLUNJERP;F1504350;;133.77;ST      ;1;0
WS151 KIT 1     ;AFDICHTSET T.B.V.WS151;;;PLUNJERP;F1504350;;65.04;ST      ;1;1
WS151 KIT 3     ;AFDICHTSET T.B.V.WS151;;;PLUNJERP;F1504350;;18.55;ST      ;1;1
WS151 KIT 69    ;AFDICHTSET T.B.V.WS151;;;PLUNJERP;F1504350;;91.41;ST      ;1;1
WSV 6L          ;HAAKSE SCHOTKOPPELING;;;WSV6L   ;F0401020;;12.26;ST      ;1;23
WSV 6S          ;HAAKSE SCHOTKOPPELING;;;WSV6S   ;F0401021;;14.08;ST      ;1;3
WSV 8L          ;HAAKSE SCHOTKOPPELING;;;WSV8L   ;F0401020;;11.94;ST      ;1;15
WSV 8S          ;HAAKSE SCHOTKOPPELING;;;WSV8S   ;F0401021;;15.52;ST      ;1;7
WSV10L          ;HAAKSE SCHOTKOPPELING;;;WSV10L  ;F0401020;;13.25;ST      ;1;32
WSV10S          ;HAAKSE SCHOTKOPPELING;;;WSV10S  ;F0401021;;19.48;ST      ;1;6
WSV12L          ;HAAKSE SCHOTKOPPELING;;;WSV12L  ;F0401020;;15.95;ST      ;1;25
WSV12L.1        ;HAAKSE SCHOTKOPPELING;;;WSV12L.1;F0401020;;13.2;ST      ;1;100
WSV12S          ;HAAKSE SCHOTKOPPELING;;;WSV12S  ;F0401021;;20.11;ST      ;1;7
WSV14S          ;HAAKSE SCHOTKOPPELING;;;WSV14S  ;F0401021;;121.23;ST      ;1;6
WSV15L          ;HAAKSE SCHOTKOPPELING;;;WSV15L  ;F0401020;;19.33;ST      ;1;2
WSV16S          ;HAAKSE SCHOTKOPPELING;;;WSV16S  ;F0401021;;27.05;ST      ;1;8
WSV18L          ;HAAKSE SCHOTKOPPELING;;;WSV18L  ;F0401020;;29.33;ST      ;1;6
WSV20S          ;HAAKSE SCHOTKOPPELING;;;WSV20S  ;F0401021;;43.04;ST      ;1;9
WSV20S.1        ;HAAKSE SCHOTKOPPELING;;;WSV12L.1;F0401021;;35.66;ST      ;1;50
WSV22L          ;HAAKSE SCHOTKOPPELING;;;WSV22L  ;F0401020;;45.93;ST      ;1;10
WSV25S          ;HAAKSE SCHOTKOPPELING;;;WSV25S  ;F0401021;;74.53;ST      ;1;4
WSV25S.1        ;HAAKSE SCHOTKOPPELING;;;WSV12L.1;F0401021;;57.15;ST      ;1;40
WSV28L          ;HAAKSE SCHOTKOPPELING;;;WSV28L  ;F0401020;;70.9;ST      ;1;5
WSV30S          ;HAAKSE SCHOTKOPPELING;;;WSV30S  ;F0401021;;103.28;ST      ;1;18
WSV35L          ;HAAKSE SCHOTKOPPELING;;;WSV35L  ;F0401020;;97.85;ST      ;1;3
WSV38S          ;HAAKSE SCHOTKOPPELING;;;WSV38S  ;F0401021;;153.41;ST      ;1;39
WSV42L          ;HAAKSE SCHOTKOPPELING;;;WSV42L  ;F0401020;;147.62;ST      ;1;3
X30808B         ;SAE FLENSKOPP.3000 PSI;;;X30808B ;F0201501;X30808B      ;14.15;ST      ;1;10
X30810B         ;SAE FLENSKOPP.3000 PSI;;;X30810B ;F0201501;X30810B      ;35.96;ST      ;1;14
X30812B         ;SAE FLENSKOPP.3000 PSI;;;X30812B ;F0201501;X30812B      ;40.63;ST      ;1;5
X31008B         ;SAE FLENSKOPP.3000 PSI;;;X31008B ;F0201501;X31008B      ;57.78;ST      ;1;7
X31010B         ;SAE FLENSKOPP.3000 PSI;;;X31010B ;F0201501;X31010B      ;26.75;ST      ;1;16
X31208B         ;SAE FLENSKOPP.3000 PSI;;;X31208B ;F0201501;X31208B      ;38.2;ST      ;1;10
X31210B         ;SAE FLENSKOPP.3000 PSI;;;X31210B ;F0201501;X31210B      ;35.34;ST      ;1;5
X31212B         ;SAE FLENSKOPP.3000 PSI;;;X31212B ;F0201501;X31212B      ;18.35;ST      ;1;4
X31216B         ;SAE FLENSKOPP.3000 PSI;;;X31216B ;F0201501;X31216B      ;41.09;ST      ;1;8
